method_a,method_b,mean_a,mean_b,t_stat,p_value,significant_p05
BM25,Search-R1 E5,0.606837606776923,0.6324786324153846,-0.47879955290048837,0.6329825196722401,False
BM25,ColBERT,0.606837606776923,0.4607527851878799,3.3123065135509617,0.0012342594580503706,True
BM25,Deep Retrieval+FAISS,0.606837606776923,0.3855099200831425,5.155779563597594,1.050752245197561e-06,True
BM25,Deep Retrieval+BM25,0.606837606776923,0.33711313425256667,6.898661531348478,2.942866884274339e-10,True
BM25,DDPG,0.606837606776923,0.27566883732063746,7.142887702530704,8.632684287406172e-11,True
BM25,PPO,0.606837606776923,0.2728621778583221,7.263976458057904,4.673299481208852e-11,True
BM25,SAC,0.606837606776923,0.2470272011804833,8.239376380382657,2.9760238184282806e-13,True
BM25,R-PPO,0.606837606776923,0.2430835933507571,7.785213437562672,3.20604072545494e-12,True
BM25,FAISS,0.606837606776923,0.22019095101461125,8.905929199142756,8.611140603049988e-15,True
Search-R1 E5,ColBERT,0.6324786324153846,0.4607527851878799,3.6580532774368306,0.00038364308731924946,True
Search-R1 E5,Deep Retrieval+FAISS,0.6324786324153846,0.3855099200831425,5.189892206670302,9.0590451409026e-07,True
Search-R1 E5,Deep Retrieval+BM25,0.6324786324153846,0.33711313425256667,6.227617528358924,7.825251781586372e-09,True
Search-R1 E5,DDPG,0.6324786324153846,0.27566883732063746,7.060201507004678,1.3098792560219694e-10,True
Search-R1 E5,PPO,0.6324786324153846,0.2728621778583221,7.380348101495392,2.582578293523223e-11,True
Search-R1 E5,SAC,0.6324786324153846,0.2470272011804833,7.744247220416152,3.965585725105503e-12,True
Search-R1 E5,R-PPO,0.6324786324153846,0.2430835933507571,7.804617425184984,2.8985710711540024e-12,True
Search-R1 E5,FAISS,0.6324786324153846,0.22019095101461125,8.71871501002712,2.3417312701745898e-14,True
ColBERT,Deep Retrieval+FAISS,0.4607527851878799,0.3855099200831425,2.3852338602890675,0.01868853401739694,True
ColBERT,Deep Retrieval+BM25,0.4607527851878799,0.33711313425256667,3.6495274748822326,0.000395235468706861,True
ColBERT,DDPG,0.4607527851878799,0.27566883732063746,4.883680464683787,3.361756769293128e-06,True
ColBERT,PPO,0.4607527851878799,0.2728621778583221,5.199600944775493,8.683703726646385e-07,True
ColBERT,SAC,0.4607527851878799,0.2470272011804833,6.007293815449677,2.224033871483906e-08,True
ColBERT,R-PPO,0.4607527851878799,0.2430835933507571,5.901665654299998,3.64644618631156e-08,True
ColBERT,FAISS,0.4607527851878799,0.22019095101461125,7.543256372101896,1.1200954190414175e-11,True
Deep Retrieval+FAISS,Deep Retrieval+BM25,0.3855099200831425,0.33711313425256667,1.44707024828769,0.15057425630994312,False
Deep Retrieval+FAISS,DDPG,0.3855099200831425,0.27566883732063746,3.207144572973747,0.0017328724667822254,True
Deep Retrieval+FAISS,PPO,0.3855099200831425,0.2728621778583221,3.5630661283132765,0.0005330863102878046,True
Deep Retrieval+FAISS,SAC,0.3855099200831425,0.2470272011804833,4.803635104102643,4.699859808277187e-06,True
Deep Retrieval+FAISS,R-PPO,0.3855099200831425,0.2430835933507571,4.493401857939552,1.668105206931732e-05,True
Deep Retrieval+FAISS,FAISS,0.3855099200831425,0.22019095101461125,6.149221478937197,1.1370591553724517e-08,True
Deep Retrieval+BM25,DDPG,0.33711313425256667,0.27566883732063746,1.8473566837754878,0.06724350802488531,False
Deep Retrieval+BM25,PPO,0.33711313425256667,0.2728621778583221,1.9755878548120787,0.05057598562800685,False
Deep Retrieval+BM25,SAC,0.33711313425256667,0.2470272011804833,2.897769631425144,0.004494473751563459,True
Deep Retrieval+BM25,R-PPO,0.33711313425256667,0.2430835933507571,2.788349865836021,0.006193122382596886,True
Deep Retrieval+BM25,FAISS,0.33711313425256667,0.22019095101461125,4.08992338318515,7.994263604417593e-05,True
DDPG,PPO,0.27566883732063746,0.2728621778583221,0.1831540627740878,0.8549968790087403,False
DDPG,SAC,0.27566883732063746,0.2470272011804833,1.4744104317250264,0.14307993690574494,False
DDPG,R-PPO,0.27566883732063746,0.2430835933507571,1.6000533418564364,0.11230685641647242,False
DDPG,FAISS,0.27566883732063746,0.22019095101461125,1.6089913139843923,0.11033648415006964,False
PPO,SAC,0.2728621778583221,0.2470272011804833,1.5076929051172514,0.13435182083864902,False
PPO,R-PPO,0.2728621778583221,0.2430835933507571,1.8309223608794456,0.0696787633065984,False
PPO,FAISS,0.2728621778583221,0.22019095101461125,1.611179658054664,0.10985830426499299,False
SAC,R-PPO,0.2470272011804833,0.2430835933507571,0.18405076562417008,0.8542949865141116,False
SAC,FAISS,0.2470272011804833,0.22019095101461125,0.867022956873347,0.38771937812196877,False
R-PPO,FAISS,0.2430835933507571,0.22019095101461125,0.7054229235784574,0.4819612444009005,False
