method,avg_rank
BM25,3.7735042735042734
Search-R1 E5,3.858974358974359
ColBERT,4.705128205128205
Deep Retrieval+FAISS,5.089743589743589
Deep Retrieval+BM25,5.730769230769231
DDPG,6.02991452991453
PPO,6.132478632478633
SAC,6.294871794871795
R-PPO,6.602564102564102
FAISS,6.782051282051282
