domain,algo,timesteps,train_time_s,emissions_kg_co2,energy_kwh,cpu_power_w,gpu_power_w
finance,ppo,40000,71.12368297576904,0.0003263162725771352,0.003317975684072225,4.918880208333333,151.97409813628087
finance,ddpg,40000,275.0317223072052,0.001269352721625732,0.012906746671266643,4.890937500000001,152.26559269542278
finance,recurrent_ppo,40000,174.75204205513,0.000807584554844443,0.008211499520523477,5.271448863636365,153.0720866840062
finance,sac,40000,761.6716678142548,0.00348240409477454,0.035408997587897464,5.2765024038461545,152.3915603226076
movie,ppo,40000,74.49337887763977,0.00034606765762140636,0.0035188072723533405,5.390052083333335,153.80095921603157
movie,ddpg,40000,319.3549406528473,0.0014769714022875313,0.015017808214580177,4.408203124999999,153.19479449823322
movie,recurrent_ppo,40000,178.28540420532227,0.0008275132556499442,0.00841413405102233,5.205437500000001,154.16054329226816
movie,sac,40000,714.9228904247284,0.0032854399391139856,0.03340627098785929,5.280909090909092,152.68555253215462
music,ppo,40000,73.94378304481506,0.00034528001282595005,0.003510798519806707,5.371194196428573,154.70370810207706
music,ddpg,40000,336.5349898338318,0.0015561518093052673,0.015822912609359287,4.965371093750001,154.42389993485924
music,recurrent_ppo,40000,173.25128316879272,0.0008039274081548317,0.008174313744609262,4.8631875,153.79185100863586
music,sac,40000,674.2981314659119,0.0031076203928456073,0.03159820629647382,5.125439453125001,153.01726833838322
open,ppo,40000,74.54586005210876,0.0003470427076706874,0.003528721556825633,5.382343750000001,155.10178288826117
open,ddpg,40000,280.7368972301483,0.0013053134131040933,0.013272394081263404,5.312005208333335,156.25026524652742
open,recurrent_ppo,40000,140.86695218086243,0.0006544696153375021,0.006654630651741795,4.966919642857143,153.66520195977694
open,sac,40000,706.2629237174988,0.0032526304380889205,0.033072664803442064,3.003359375,159.0466758312539
sports,ppo,40000,123.39642286300659,0.0005568469754326882,0.005662006095016556,4.22725,156.3947594328369
sports,ddpg,40000,330.627170085907,0.001525916617045218,0.015515481931968297,3.003359375,152.2910060453695
sports,recurrent_ppo,40000,198.07817673683167,0.0009261189859514419,0.009416754646270812,3.6040312500000007,152.82565617806932
sports,sac,40000,731.5162250995636,0.0033685369894447073,0.034251199713717685,5.134639423076924,152.44137435988108
