metric,n_paired,n_methods,friedman_stat,friedman_p,friedman_significant,best_method,best_avg_rank,worst_method,worst_avg_rank
ROUGE-L F1,169,10,30.777652687869356,0.0003231815626106728,True,ColBERT,4.958579881656805,BM25,6.254437869822485
BLEU-4,169,10,52.63981693363768,3.4203836858380264e-08,True,SAC,5.112426035502959,Search-R1 E5,6.449704142011834
BERTScore F1,169,10,167.06611936986897,2.5192479106057057e-31,True,ColBERT,4.494082840236686,Search-R1 E5,8.0
Cosine Similarity,169,10,55.956030580806186,8.002658661972008e-09,True,SAC,4.928994082840236,BM25,6.517751479289941
Faithfulness,166,10,161.42170694231027,3.761357028679604e-30,True,Deep Retrieval+FAISS,4.454819277108434,DDPG,6.2620481927710845
Answer Relevancy,35,10,49.11260709914312,1.5810540145824397e-07,True,DDPG,4.8428571428571425,Search-R1 E5,8.4
Answer Correctness,163,10,1165.4026953635735,3.5649124933534863e-245,True,FAISS,3.6779141104294477,Search-R1 E5,9.122699386503067
Context Precision,117,10,181.59950402975832,2.3479975714432356e-34,True,BM25,3.7735042735042734,FAISS,6.782051282051282
Context Recall,133,10,17.049052326679394,0.04795334004904325,True,SAC,5.018796992481203,FAISS,6.184210526315789
