algo,inference_latency_s_mean,inference_latency_s_std,inference_latency_s_count,n_chunks_selected_mean,n_chunks_selected_std,n_chunks_selected_count,emissions_kg_co2_total_run,energy_kwh_total_run,wall_clock_time_s
ddpg,0.43985807038471103,0.29185081114936884,250.0,8.292,1.2052162398254311,250.0,,,
ppo,0.03598212707787752,0.03875584308976963,250.0,10.0,0.0,250.0,,,
recurrent_ppo,0.022830029115080832,0.029733779813449993,250.0,10.0,0.0,250.0,,,
sac,0.053377445101737975,0.09605045988797507,250.0,9.968,0.39951778162095025,250.0,,,
TOTAL,0.13801191791985185,0.2337579708159945,1000.0,9.565,0.9709365158019868,1000.0,0.000637250395456474,0.006479546055399947,139.91020822525024
