method,avg_rank
ColBERT,4.958579881656805
Deep Retrieval+FAISS,5.236686390532545
SAC,5.295857988165681
R-PPO,5.3579881656804735
Deep Retrieval+BM25,5.384615384615385
DDPG,5.390532544378698
PPO,5.414201183431953
Search-R1 E5,5.846153846153846
FAISS,5.8609467455621305
BM25,6.254437869822485
