method,avg_rank
ColBERT,5.4171597633136095
Deep Retrieval+FAISS,5.715976331360947
SAC,5.7514792899408285
R-PPO,5.840236686390533
DDPG,5.8579881656804735
PPO,5.875739644970414
Deep Retrieval+BM25,5.896449704142012
Gemini,5.991124260355029
FAISS,6.3609467455621305
Search-R1 E5,6.420118343195266
BM25,6.872781065088757
