method_a,method_b,mean_a,mean_b,t_stat,p_value,significant_p05
ColBERT,Deep Retrieval+FAISS,0.40215912830889566,0.3836806320458729,0.699147717715474,0.4854265360726624,False
ColBERT,SAC,0.40215912830889566,0.3778888446879155,0.7667305557558615,0.4443178190139597,False
ColBERT,R-PPO,0.40215912830889566,0.38024413384668765,0.7118374258622229,0.4775527626094731,False
ColBERT,DDPG,0.40215912830889566,0.37034522531892017,0.9361970139962453,0.3505155732474591,False
ColBERT,PPO,0.40215912830889566,0.3746589229327995,0.9099177165904923,0.3641695098294142,False
ColBERT,Deep Retrieval+BM25,0.40215912830889566,0.36413406726553516,1.3813948236814222,0.16899206763836724,False
ColBERT,Gemini,0.40215912830889566,0.34221928446185135,1.9547926136138423,0.0522671417915698,False
ColBERT,FAISS,0.40215912830889566,0.31409928989913966,2.6629456636558264,0.008499276652083361,True
ColBERT,Search-R1 E5,0.40215912830889566,0.28661644649736623,4.1297614176965975,5.7119963426281305e-05,True
ColBERT,BM25,0.40215912830889566,0.2503259040896071,5.2946073347820155,3.691134144171966e-07,True
Deep Retrieval+FAISS,SAC,0.3836806320458729,0.3778888446879155,0.19093672985370722,0.8488057109911695,False
Deep Retrieval+FAISS,R-PPO,0.3836806320458729,0.38024413384668765,0.11362768195226076,0.9096686156770231,False
Deep Retrieval+FAISS,DDPG,0.3836806320458729,0.37034522531892017,0.4284310683212433,0.6688860952172607,False
Deep Retrieval+FAISS,PPO,0.3836806320458729,0.3746589229327995,0.3023485221259759,0.7627603903970648,False
Deep Retrieval+FAISS,Deep Retrieval+BM25,0.3836806320458729,0.36413406726553516,0.8129854252922266,0.4173770397352897,False
Deep Retrieval+FAISS,Gemini,0.3836806320458729,0.34221928446185135,1.36448796521678,0.17423895950141988,False
Deep Retrieval+FAISS,FAISS,0.3836806320458729,0.31409928989913966,2.301511332674539,0.0225907082768709,True
Deep Retrieval+FAISS,Search-R1 E5,0.3836806320458729,0.28661644649736623,3.870975056148038,0.00015494880052103013,True
Deep Retrieval+FAISS,BM25,0.3836806320458729,0.2503259040896071,4.934337669002562,1.9230561277587133e-06,True
SAC,R-PPO,0.3778888446879155,0.38024413384668765,-0.1168736480083382,0.9070997806186061,False
SAC,DDPG,0.3778888446879155,0.37034522531892017,0.3624954063905981,0.7174374679791745,False
