method,avg_rank
FAISS,3.6779141104294477
SAC,3.6779141104294477
PPO,3.7024539877300615
R-PPO,3.7177914110429446
DDPG,3.745398773006135
ColBERT,4.57361963190184
BM25,5.733128834355829
Deep Retrieval+FAISS,8.503067484662576
Deep Retrieval+BM25,8.54601226993865
Search-R1 E5,9.122699386503067
