method,avg_rank
Deep Retrieval+FAISS,4.454819277108434
Search-R1 E5,4.460843373493976
Deep Retrieval+BM25,4.759036144578313
ColBERT,5.2620481927710845
BM25,5.557228915662651
PPO,5.906626506024097
R-PPO,6.0602409638554215
SAC,6.099397590361446
FAISS,6.177710843373494
DDPG,6.2620481927710845
