method,avg_rank
SAC,5.355029585798817
PPO,5.449704142011834
R-PPO,5.636094674556213
Deep Retrieval+FAISS,5.644970414201183
DDPG,5.745562130177515
ColBERT,5.831360946745562
FAISS,5.875739644970414
Gemini,5.961538461538462
Deep Retrieval+BM25,6.28698224852071
Search-R1 E5,7.071005917159764
BM25,7.1420118343195265
