method,avg_rank
SAC,5.112426035502959
PPO,5.1390532544378695
R-PPO,5.15680473372781
ColBERT,5.260355029585799
DDPG,5.363905325443787
Deep Retrieval+FAISS,5.366863905325443
Deep Retrieval+BM25,5.411242603550296
FAISS,5.458579881656805
BM25,6.281065088757397
Search-R1 E5,6.449704142011834
