method,avg_rank
ColBERT,4.9674556213017755
Deep Retrieval+FAISS,5.260355029585799
PPO,5.405325443786983
SAC,5.594674556213017
R-PPO,5.653846153846154
Gemini,5.769230769230769
Deep Retrieval+BM25,5.78698224852071
DDPG,5.846153846153846
FAISS,6.15680473372781
BM25,6.766272189349112
Search-R1 E5,8.792899408284024
