method,avg_rank
SAC,4.928994082840236
PPO,4.982248520710059
Deep Retrieval+FAISS,5.162721893491124
R-PPO,5.204142011834319
DDPG,5.304733727810651
ColBERT,5.304733727810651
FAISS,5.396449704142012
Deep Retrieval+BM25,5.763313609467455
Search-R1 E5,6.43491124260355
BM25,6.517751479289941
