method,avg_rank
SAC,5.5325443786982245
PPO,5.57396449704142
R-PPO,5.618343195266272
ColBERT,5.718934911242603
DDPG,5.810650887573964
Deep Retrieval+FAISS,5.837278106508876
Deep Retrieval+BM25,5.887573964497041
FAISS,5.902366863905326
Gemini,6.260355029585799
BM25,6.8579881656804735
Search-R1 E5,7.0
