pair,pearson_r,pearson_p,spearman_rho,spearman_p,n
query_n_tokens~base_n_tokens,0.04745318421476175,0.49715003984671846,0.10480570239168782,0.1328641948875971,207
query_n_tokens~overlap_jaccard,0.4752530200498058,4.627836457126177e-13,0.6601015728493748,2.8205756072624565e-27,207
base_n_tokens~overlap_jaccard,-0.4151788109106183,4.963340009339312e-10,-0.4788032101373887,2.931419059713531e-13,207
query_num_ratio~base_num_ratio,0.34248008937400576,4.390809706331468e-07,0.19600873514084804,0.004647436596265598,207
query_ttr~base_ttr,0.02999272126339341,0.6679206153708716,0.01564590933291156,0.822947162182037,207
