method,avg_rank
DDPG,4.8428571428571425
FAISS,4.9
R-PPO,4.9
SAC,4.9
Deep Retrieval+BM25,4.957142857142857
PPO,5.085714285714285
Deep Retrieval+FAISS,5.4
ColBERT,5.4
BM25,6.214285714285714
Search-R1 E5,8.4
