method,avg_rank
SAC,5.018796992481203
R-PPO,5.2105263157894735
Deep Retrieval+FAISS,5.37593984962406
ColBERT,5.432330827067669
Search-R1 E5,5.451127819548872
DDPG,5.518796992481203
PPO,5.522556390977444
BM25,5.605263157894737
Deep Retrieval+BM25,5.680451127819549
FAISS,6.184210526315789
