metric,n_paired,n_methods,friedman_stat,friedman_p,friedman_significant,best_method,best_avg_rank,worst_method,worst_avg_rank
ROUGE-L F1,169,11,32.07571982281175,0.0003889671284260685,True,ColBERT,5.4171597633136095,BM25,6.872781065088757
BLEU-4,169,11,53.987965400525965,4.877369835396906e-08,True,SAC,5.5325443786982245,Search-R1 E5,7.0
BERTScore F1,169,11,169.69068473530524,3.2147759307632964e-31,True,ColBERT,4.9674556213017755,Search-R1 E5,8.792899408284024
Cosine Similarity,169,11,58.35134143933175,7.4227744745018315e-09,True,SAC,5.355029585798817,BM25,7.1420118343195265
