method,avg_rank
ColBERT,4.494082840236686
Deep Retrieval+FAISS,4.795857988165681
PPO,4.955621301775148
SAC,5.15680473372781
R-PPO,5.1923076923076925
Deep Retrieval+BM25,5.2485207100591715
DDPG,5.3609467455621305
FAISS,5.650887573964497
BM25,6.144970414201183
Search-R1 E5,8.0
